Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
92,little women,2019,pg,drama,greta gerwig,8.575,73.17
93,the expendables 2,2012,r,thriller,simon west,6.199999999999999,73.17
94,american sniper,2014,r,action,clint eastwood,7.275,73.17
95,la confidential,1997,r,mystery,curtis hanson,8.75,73.15
96,george of the jungle,1997,pg,comedy,sam weisman,5.475,73.14
97,midway,2019,pg-13,war,roland emmerich,5.675,73.14
98,captain corellis mandolin,2001,r,war,john madden,4.575,73.14
99,the monuments men,2014,pg-13,war,george clooney,5.1,73.13
100,cocoon,1985,pg-13,science fiction,ron howard,7.0,73.11999999999999
101,moonstruck,1987,pg,romance,norman jewison,7.800000000000001,73.1
102,west side story,2021,pg-13,romance,steven spielberg,7.925,73.03
103,good will hunting,1997,r,drama,gus van sant,8.3,73.02
104,star trek,2009,pg-13,science fiction,j.j. abrams,8.225,73.00999999999999
105,batman,1989,pg-13,crime,tim burton,7.325,73.0
106,the hateful eight,2015,r,mystery,quentin tarantino,7.45,72.99
107,rrr,2022,nr,drama,s.s. rajamouli,8.35,72.99
108,an officer and a gentleman,1982,r,romance,taylor hackford,7.375,72.99
109,fiddler on the roof,1971,g,romance,norman jewison,7.625,72.98
110,the towering inferno,1974,pg,thriller,john guillermin,6.925,72.97
111,the blind side,2009,pg-13,drama,john lee hancock,6.8,72.96000000000001
112,the lion king,1994,g,drama,"roger allers, rob minkoff",8.7,72.95
113,monsters inc,2001,g,comedy,"pete docter, david silverman, lee unkrich",8.35,72.91
114,schindlers list,1993,r,war,steven spielberg,9.225,72.89999999999999
115,the muppets,2011,pg,music,james bobin,7.7,72.89999999999999
116,for your eyes only,1981,pg,thriller,john glen,6.375,72.89
117,sweeney todd the demon barber of fleet street,2007,r,drama,tim burton,7.85,72.89
118,training day,2001,r,crime,antoine fuqua,7.4,72.87
119,hugo,2011,pg,drama,martin scorsese,8.075000000000001,72.84
120,1941,1979,pg,war,steven spielberg,4.725,72.84
121,the sound of music,1965,g,music,robert wise,7.6,72.83
122,the exorcist,1973,r,horror,william friedkin,7.925,72.81
123,captain america the first avenger,2011,pg-13,science fiction,joe johnston,7.125,72.8
124,outbreak,1995,r,thriller,wolfgang petersen,6.375,72.8
125,mash,1970,r,war,robert altman,7.75,72.78999999999999
126,babe,1995,g,drama,chris noonan,7.775,72.78999999999999
127,the silence of the lambs,1991,r,drama,jonathan demme,8.75,72.78999999999999
128,the outpost,2019,r,war,rod lurie,7.475,72.78
129,operation chromite,2016,r,war,john h. lee,5.275,72.77
130,ratatouille,2007,g,comedy,"brad bird, jan pinkava",8.775,72.76
131,fury,2014,r,war,david ayer,7.275,72.75
132,the constant gardener,2005,r,mystery,fernando meirelles,7.7,72.74000000000001
133,resident evil apocalypse,2004,r,science fiction,alexander witt,4.45,72.71
134,for whom the bell tolls,1943,g,war,sam wood,6.625,72.71
135,valkyrie,2008,pg-13,drama,bryan singer,6.45,72.71
136,the deer hunter,1978,r,war,michael cimino,8.325,72.68
137,harts war,2002,r,war,gregory hoblit,5.9,72.68
138,unstoppable,2010,pg-13,thriller,tony scott,7.25,72.66
139,city of life and death,2009,r,war,chuan lu,8.2,72.65
140,top gun,1986,pg,action,tony scott,6.2,72.65
141,rambo first blood part ii,1985,r,action,george p. cosmatos,5.275,72.64
142,allied,2016,r,thriller,robert zemeckis,6.475,72.64
143,doctor dolittle,1967,g,music,richard fleischer,4.65,72.63
144,a fish called wanda,1988,r,crime,"charles crichton, john cleese",8.075,72.61999999999999
145,legally blonde 2 red white  blonde,2003,pg-13,romance,charles herman-wurmfeld,4.675,72.61
146,thank you for your service,2017,r,war,jason hall,6.9,72.61
147,outlaws   for greater glory,2012,r,war,dean wright,4.725,72.61
148,the dictator,2012,r,comedy,larry charles,6.05,72.59
149,arthur,1981,pg,romance,steve gordon,7.225,72.58
150,lyle lyle crocodile,2022,pg,music,"josh gordon, will speck",6.324999999999999,72.58
151,michael clayton,2007,r,crime,tony gilroy,7.8,72.56
152,sophies choice,1982,r,war,alan j. pakula,7.25,72.56
153,contact,1997,pg,drama,robert zemeckis,6.975,72.55
154,witness,1985,r,crime,peter weir,7.85,72.53
155,behind enemy lines,2001,pg-13,war,john moore,5.3500000000000005,72.53
156,crimson tide,1995,r,thriller,tony scott,7.5,72.52
157,lemony snickets a series of unfortunate events,2004,pg,comedy,brad silberling,6.75,72.52
158,the children of huang shi,2008,r,war,roger spottiswoode,5.4,72.52
159,act of valor,2012,r,war,"mike mccoy, scott waugh",4.925,72.50999999999999
160,almost famous,2000,r,music,cameron crowe,8.375,72.50999999999999
161,jack ryan shadow recruit,2014,pg-13,thriller,kenneth branagh,5.875,72.49
162,thunderball,1965,pg,thriller,terence young,7.1,72.48
163,working girl,1988,r,romance,mike nichols,7.25,72.48
164,paul blart mall cop,2009,pg,comedy,steve carr,4.5,72.47
165,a star is born,1976,r,music,frank pierson,5.425,72.46000000000001
166,munich,2005,r,thriller,steven spielberg,7.45,72.46000000000001
167,the bad guys,2022,pg,crime,pierre perifel,7.4,72.45
168,lilo  stitch,2002,pg,comedy,"dean deblois, chris sanders",7.725,72.45
169,fargo,1996,r,crime,"joel coen, ethan coen",8.525,72.43
170,defiance,2008,r,war,edward zwick,6.375,72.41
171,flags of our fathers,2006,r,war,clint eastwood,7.375,72.41
172,zero dark thirty,2012,r,thriller,kathryn bigelow,8.25,72.39999999999999
173,legend of the guardians the owls of gahoole,2010,pg,fantasy,zack snyder,6.05,72.38
174,catch 22,1970,r,war,mike nichols,7.225,72.36
175,hitch,2005,pg-13,comedy,andy tennant,6.449999999999999,72.34
176,king kong,2005,pg-13,drama,peter jackson,7.65,72.33000000000001
177,tropic thunder,2008,r,comedy,ben stiller,7.274999999999999,72.33000000000001
178,the rock,1996,r,action,michael bay,6.75,72.32
179,where eagles dare,1968,pg,war,brian g. hutton,7.45,72.32
180,the broadway melody,1929,nr,music,harry beaumont,5.4,72.28999999999999
181,wallace  gromit the curse of the were rabbit,2005,g,comedy,"steve box, nick park",8.2,72.28999999999999
182,driving miss daisy,1989,pg,drama,bruce beresford,7.774999999999999,72.28
