Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
607,wonder park,2019,pg,fantasy,dylan brown,5.1,73.1
608,rules of engagement,2000,r,war,william friedkin,5.2,73.1
609,lemony snickets a series of unfortunate events,2004,pg,comedy,brad silberling,6.75,73.1
610,xxx state of the union,2005,pg-13,crime,lee tamahori,3.725,73.09
611,dream house,2011,pg-13,mystery,jim sheridan,4.1,73.09
612,cold creek manor,2003,r,mystery,mike figgis,3.825,73.08
613,the dark knight rises,2012,pg-13,action,christopher nolan,8.175,73.07000000000001
614,white noise,2005,pg-13,horror,geoffrey sax,3.7,73.07000000000001
615,seabiscuit,2003,pg-13,drama,gary ross,7.325,73.06
616,the bourne identity,2002,pg-13,action,doug liman,7.625,73.06
617,teenage mutant ninja turtles mutant mayhem,2023,pg,science fiction,"jeff rowe, kyler spears",7.825,73.06
618,once upon a time in hollywood,2019,r,thriller,quentin tarantino,7.975,73.06
619,sucker punch,2011,pg-13,fantasy,zack snyder,4.45,73.05
620,burlesque,2010,pg-13,romance,steve antin,5.5,73.04
621,munich,2005,r,thriller,steven spielberg,7.45,73.03
622,boomerang,1992,r,romance,reginald hudlin,5.175,73.03
623,rogue one a star wars story,2016,pg-13,science fiction,gareth edwards,7.55,73.03
624,men in black international,2019,pg-13,comedy,f. gary gray,4.4,73.03
625,we were soldiers,2002,r,war,randall wallace,6.775,73.00999999999999
626,the chronicles of narnia the voyage of the dawn treader,2010,pg,fantasy,michael apted,5.725,72.98
627,life as we know it,2010,pg-13,romance,greg berlanti,5.075,72.97
628,enemy at the gates,2001,r,war,jean-jacques annaud,6.4,72.97
629,beverly hills chihuahua,2008,pg,romance,raja gosnell,4.375,72.96000000000001
630,sgt peppers lonely hearts club band,1978,pg,music,michael schultz,3.1,72.96000000000001
631,behind enemy lines,2001,pg-13,war,john moore,5.3500000000000005,72.96000000000001
632,petes dragon,2016,pg,fantasy,david lowery,7.25,72.95
633,sleeping with the enemy,1991,r,thriller,joseph ruben,5.0,72.95
634,indiana jones and the last crusade,1989,pg-13,action,steven spielberg,7.75,72.95
635,outbreak,1995,r,thriller,wolfgang petersen,6.375,72.95
636,iron man 2,2010,pg-13,action,jon favreau,6.65,72.95
637,star trek the motion picture,1979,g,mystery,robert wise,5.775,72.95
638,psycho,1998,r,mystery,gus van sant,4.625,72.95
639,killers of the flower moon,2023,r,drama,martin scorsese,8.3,72.94
640,untraceable,2008,r,horror,gregory hoblit,4.300000000000001,72.94
641,three kings,1999,r,war,david o. russell,7.85,72.94
642,21,2008,pg-13,drama,robert luketic,5.475,72.92999999999999
643,the exorcism of emily rose,2005,pg-13,thriller,scott derrickson,4.975,72.92
644,harlem nights,1989,r,crime,eddie murphy,4.125,72.92
645,takers,2010,pg-13,crime,john luessenhop,4.925,72.92
646,charlies angels full throttle,2003,pg-13,action,mcg,4.825,72.92
647,swordfish,2001,r,crime,dominic sena,4.625,72.92
648,trolls world tour,2020,pg,music,"walt dohrn, david p. smith",6.425,72.92
649,the sixth sense,1999,pg-13,mystery,m. night shyamalan,7.8,72.92
650,fools gold,2008,pg-13,romance,andy tennant,3.85,72.91
651,the horse whisperer,1998,pg-13,drama,robert redford,6.85,72.91
652,blended,2014,pg-13,romance,frank coraci,4.5,72.91
653,dunkirk,2017,pg-13,action,christopher nolan,8.475,72.91
654,death race,2008,r,science fiction,paul w.s. anderson,5.275,72.91
655,the hustle,2019,pg-13,crime,chris addison,4.125,72.89999999999999
656,taken 3,2014,pg-13,action,olivier megaton,4.05,72.89999999999999
657,king arthur,2004,pg-13,war,antoine fuqua,5.05,72.89999999999999
658,flags of our fathers,2006,r,war,clint eastwood,7.375,72.89999999999999
659,mary shelleys frankenstein,1994,r,romance,kenneth branagh,5.45,72.89999999999999
660,life,2017,r,mystery,daniel espinosa,6.3,72.89999999999999
661,nutty professor ii the klumps,2000,pg-13,romance,peter segal,4.0,72.89999999999999
662,alvin and the chipmunks the squeakquel,2009,pg,comedy,betty thomas,4.1,72.89
663,back to the future part ii,1989,pg,science fiction,robert zemeckis,6.9,72.89
664,the chronicles of narnia the lion the witch and the wardrobe,2005,pg,fantasy,andrew adamson,7.25,72.89
665,ad astra,2019,pg-13,science fiction,james gray,7.225,72.89
666,get rich or die tryin,2005,r,music,jim sheridan,4.625,72.88
667,the pink panther 2,2009,pg,mystery,harald zwart,4.05,72.88
668,the devils advocate,1997,r,mystery,taylor hackford,6.825,72.88
669,everest,2015,pg-13,drama,baltasar kormákur,6.9,72.87
670,13 going on 30,2004,pg-13,fantasy,gary winick,6.3,72.87
671,super 8,2011,pg-13,thriller,j.j. abrams,7.275,72.87
672,ghostbusters ii,1989,pg,fantasy,ivan reitman,6.074999999999999,72.86
673,kate  leopold,2001,pg-13,fantasy,james mangold,5.575,72.86
674,the little prince,2015,pg,fantasy,mark osborne,7.85,72.86
675,hannibal rising,2007,r,horror,peter webber,4.35,72.86
676,big fish,2003,pg-13,fantasy,tim burton,7.3,72.84
677,event horizon,1997,r,mystery,paul w.s. anderson,5.025,72.84
678,unfaithful,2002,r,thriller,adrian lyne,6.175,72.84
679,the hangover,2009,r,comedy,todd phillips,7.55,72.83
680,freddy vs jason,2003,r,horror,ronny yu,4.9,72.83
681,my best friends wedding,1997,pg-13,romance,p.j. hogan,6.325,72.83
682,bandits,2001,pg-13,crime,barry levinson,6.3,72.83
683,all eyez on me,2017,r,music,benny boom,4.525,72.83
684,men in black ii,2002,pg-13,science fiction,barry sonnenfeld,5.325,72.83
685,the green hornet,2011,pg-13,action,michel gondry,4.95,72.82
686,nine,2009,pg-13,music,rob marshall,5.025,72.82
687,the passion of the christ,2004,r,drama,mel gibson,6.1,72.81
688,the long kiss goodnight,1996,r,mystery,renny harlin,6.15,72.81
689,coming to america,1988,r,romance,john landis,6.5,72.81
690,fury,2014,r,war,david ayer,7.275,72.78999999999999
691,27 dresses,2008,pg-13,romance,anne fletcher,5.3,72.78999999999999
692,bedazzled,2000,pg-13,fantasy,harold ramis,5.525,72.78999999999999
693,hellboy,2004,pg-13,fantasy,guillermo del toro,7.225,72.78999999999999
694,winters tale,2014,pg-13,mystery,akiva goldsman,4.175,72.78
695,the woman in black,2012,pg-13,thriller,james watkins,6.325,72.78
