Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
90,the time travelers wife,2009,pg-13,fantasy,robert schwentke,5.625,75.21
91,bedazzled,2000,pg-13,fantasy,harold ramis,5.525,75.21
92,the reaping,2007,r,horror,stephen hopkins,3.925,75.2
93,scary movie 3,2003,r,comedy,david zucker,5.0,75.19
94,eat pray love,2010,pg-13,romance,ryan murphy,5.125,75.19
95,journey to the west the demons strike back,2017,pg-13,fantasy,hark tsui,5.875,75.18
96,the angry birds movie,2016,pg,comedy,"clay kaytis, fergal reilly",5.3,75.18
97,spy,2015,r,action,paul feig,7.7,75.17
98,freddy vs jason,2003,r,horror,ronny yu,4.9,75.17
99,shazam,2019,pg-13,comedy,david f. sandberg,7.525,75.16000000000001
100,everest,2015,pg-13,drama,baltasar kormákur,6.9,75.16000000000001
101,the village,2004,pg-13,drama,m. night shyamalan,5.45,75.14999999999999
102,evolution,2001,pg-13,science fiction,ivan reitman,5.15,75.14
103,abraham lincoln vampire hunter,2012,r,fantasy,timur bekmambetov,4.800000000000001,75.14
104,creed iii,2023,pg-13,action,michael b. jordan,7.5,75.13
105,double jeopardy,1999,r,mystery,bruce beresford,4.975,75.11
106,man on fire,2004,r,thriller,tony scott,5.925,75.11
107,spawn,1997,pg-13,horror,mark a.z. dippé,3.925,75.1
108,just like heaven,2005,pg-13,romance,mark waters,5.95,75.1
109,cars,2006,g,comedy,"john lasseter, joe ranft",7.225,75.1
110,monster house,2006,pg,fantasy,gil kenan,6.9,75.1
111,starsky  hutch,2004,pg-13,crime,todd phillips,5.925,75.09
112,harlem nights,1989,r,crime,eddie murphy,4.125,75.09
113,ice age,2002,pg,comedy,"chris wedge, carlos saldanha",7.175,75.08
114,gangster squad,2013,r,crime,ruben fleischer,5.025,75.08
115,immortals,2011,r,drama,tarsem singh,5.375,75.08
116,pokémon the first movie,1998,g,fantasy,kunihiko yuyama,4.575,75.08
117,the dictator,2012,r,comedy,larry charles,6.05,75.08
118,inferno,2016,pg-13,mystery,ron howard,4.7,75.07000000000001
119,the equalizer 3,2023,r,thriller,antoine fuqua,6.875,75.07000000000001
120,tropic thunder,2008,r,comedy,ben stiller,7.274999999999999,75.07000000000001
121,zodiac,2007,r,mystery,david fincher,8.025,75.06
122,muppets most wanted,2014,pg,crime,james bobin,6.7,75.06
123,die hard with a vengeance,1995,r,thriller,john mctiernan,6.65,75.06
124,last action hero,1993,pg-13,fantasy,john mctiernan,5.4,75.05
125,the angry birds movie 2,2019,pg,fantasy,"thurop van orman, john rice",6.675,75.03999999999999
126,basic,2003,r,mystery,john mctiernan,4.6,75.03999999999999
127,back to the future part ii,1989,pg,science fiction,robert zemeckis,6.9,75.03999999999999
128,max payne,2008,pg-13,crime,john moore,3.85,75.03
129,the spongebob movie sponge out of water,2015,pg,fantasy,"paul tibbitt, mike mitchell",6.574999999999999,75.03
130,fury,2014,r,war,david ayer,7.275,75.03
131,the thing,2011,r,mystery,matthijs van heijningen jr.,5.175000000000001,75.01
132,ferdinand,2017,pg,comedy,carlos saldanha,6.675,75.01
133,the family man,2000,pg-13,fantasy,brett ratner,5.775,75.0
134,reign of fire,2002,pg-13,fantasy,rob bowman,5.1,74.99
135,anaconda,1997,pg-13,horror,luis llosa,4.475,74.99
136,the 5th wave,2016,pg-13,science fiction,j blakeson,4.025,74.99
137,stuart little,1999,pg,comedy,rob minkoff,6.225,74.98
138,book of shadows blair witch 2,2000,r,horror,joe berlinger,2.8,74.98
139,captain corellis mandolin,2001,r,war,john madden,4.575,74.98
140,rambo,2008,r,war,sylvester stallone,5.525,74.97
141,the holiday,2006,pg-13,romance,nancy meyers,6.1,74.97
142,the unborn,2009,pg-13,mystery,david s. goyer,3.475,74.97
143,cinderella man,2005,pg-13,romance,ron howard,7.6,74.97
144,charlies angels,2000,pg-13,action,mcg,5.85,74.97
145,olympus has fallen,2013,r,thriller,antoine fuqua,5.5,74.97
146,vertical limit,2000,pg-13,thriller,martin campbell,5.4,74.96000000000001
147,underworld rise of the lycans,2009,r,fantasy,patrick tatopoulos,5.1,74.96000000000001
148,the roommate,2011,pg-13,horror,christian e. christiansen,3.2,74.96000000000001
149,a bugs life,1998,g,comedy,"john lasseter, andrew stanton",7.775,74.96000000000001
150,sliver,1993,r,thriller,phillip noyce,4.05,74.96000000000001
151,alien³,1992,r,science fiction,david fincher,5.775,74.96000000000001
152,8mm,1999,r,mystery,joel schumacher,4.35,74.95
153,one missed call,2008,pg-13,mystery,eric valette,2.95,74.95
154,2 guns,2013,r,crime,baltasar kormákur,6.275,74.95
155,contact,1997,pg,drama,robert zemeckis,6.975,74.95
156,legally blonde 2 red white  blonde,2003,pg-13,romance,charles herman-wurmfeld,4.675,74.95
157,us marshals,1998,pg-13,crime,stuart baird,5.2,74.94
158,failure to launch,2006,pg-13,romance,tom dey,4.625,74.94
159,grumpier old men,1995,pg-13,romance,howard deutch,4.975,74.92999999999999
160,the great mouse detective,1986,g,mystery,"ron clements, burny mattinson, dave michener",7.3,74.92999999999999
161,charlie and the chocolate factory,2005,pg,fantasy,tim burton,7.300000000000001,74.92
162,the fifth element,1997,pg-13,science fiction,luc besson,6.875,74.92
163,the book of eli,2010,r,thriller,"albert hughes, allen hughes",5.9,74.92
164,shang chi and the legend of the ten rings,2021,pg-13,fantasy,destin daniel cretton,7.8,74.92
165,bride wars,2009,pg,romance,gary winick,3.775,74.91
166,free guy,2021,pg-13,science fiction,shawn levy,7.2,74.91
167,be cool,2005,pg-13,crime,f. gary gray,4.45,74.91
168,identity thief,2013,r,crime,seth gordon,4.275,74.91
169,law abiding citizen,2009,r,crime,f. gary gray,5.2,74.91
170,the scorpion king,2002,pg-13,drama,chuck russell,4.9,74.9
171,jack reacher never go back,2016,pg-13,thriller,edward zwick,5.15,74.9
172,watchmen,2009,r,science fiction,zack snyder,6.75,74.9
173,into the storm,2014,pg-13,thriller,steven quale,4.6,74.9
174,the sum of all fears,2002,pg-13,drama,phil alden robinson,5.8,74.9
175,tomb raider,2018,pg-13,fantasy,roar uthaug,5.675,74.9
176,minority report,2002,pg-13,thriller,steven spielberg,7.95,74.9
177,whitney houston i wanna dance with somebody,2022,pg-13,music,kasi lemmons,5.775,74.89
178,abduction,2011,pg-13,mystery,john singleton,3.5,74.89
179,the generals daughter,1999,r,thriller,simon west,4.9,74.89
180,paycheck,2003,pg-13,thriller,john woo,4.875,74.89
181,alien covenant,2017,r,thriller,ridley scott,6.4,74.88
182,red riding hood,2011,pg-13,horror,catherine hardwicke,3.825,74.88
183,the fog,2005,pg-13,mystery,rupert wainwright,2.825,74.88
184,rambo iii,1988,r,war,peter macdonald,4.925,74.88
185,rrr,2022,nr,drama,s.s. rajamouli,8.35,74.87
186,the wolf of wall street,2013,r,drama,martin scorsese,7.9,74.87
187,hitman agent 47,2015,r,crime,aleksander bach,3.8,74.87
188,rv,2006,pg,romance,barry sonnenfeld,4.275,74.87
189,the secret life of walter mitty,2013,pg,comedy,ben stiller,6.275,74.87
190,red 2,2013,pg-13,crime,dean parisot,5.55,74.86
191,red sparrow,2018,r,thriller,francis lawrence,5.725,74.86
192,big fish,2003,pg-13,fantasy,tim burton,7.3,74.86
193,along came a spider,2001,r,crime,lee tamahori,5.025,74.85000000000001
194,cloudy with a chance of meatballs,2009,pg,comedy,"phil lord, christopher miller",7.15,74.85000000000001
195,the hunchback of notre dame,1996,g,drama,"gary trousdale, kirk wise",7.175,74.85000000000001
196,ted 2,2015,r,comedy,seth macfarlane,5.475,74.85000000000001
197,hellboy,2004,pg-13,fantasy,guillermo del toro,7.225,74.83999999999999
198,superman iii,1983,pg,science fiction,richard lester,4.45,74.83999999999999
199,six days seven nights,1998,pg-13,romance,ivan reitman,5.225,74.83999999999999
200,life as we know it,2010,pg-13,romance,greg berlanti,5.075,74.83999999999999
201,alien resurrection,1997,r,horror,jean-pierre jeunet,6.05,74.83999999999999
202,live free or die hard,2007,pg-13,thriller,len wiseman,7.199999999999999,74.83999999999999
203,cliffhanger,1993,r,action,renny harlin,6.45,74.83
204,oceans eight,2018,pg-13,crime,gary ross,6.575,74.83
205,the muppets,2011,pg,music,james bobin,7.7,74.83
206,savages,2012,r,crime,oliver stone,5.925000000000001,74.83
207,anastasia,1997,g,fantasy,"don bluth, gary goldman",7.275,74.83
208,constantine,2005,r,horror,francis lawrence,5.925,74.83
209,priest,2011,pg-13,fantasy,scott stewart,4.275,74.83
210,non stop,2014,pg-13,mystery,jaume collet-serra,6.375,74.82
211,birds of prey and the fantabulous emancipation of one harley quinn,2020,r,crime,cathy yan,6.725,74.82
212,the bad guys,2022,pg,crime,pierre perifel,7.4,74.82
