Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
614,goldeneye,1995,pg-13,action,martin campbell,7.15,0.6814
615,house at the end of the street,2012,pg-13,horror,mark tonderai,3.85,0.6814
616,shallow hal,2001,pg-13,romance,"bobby farrelly, peter farrelly",5.475,0.6813
617,shazam,2019,pg-13,comedy,david f. sandberg,7.525,0.6812
618,the legend of 1900,1998,r,music,giuseppe tornatore,6.925000000000001,0.6808
619,the aviator,2004,pg-13,drama,martin scorsese,7.75,0.6808
620,takers,2010,pg-13,crime,john luessenhop,4.925,0.6804
621,the last song,2010,pg,romance,julie anne robinson,4.65,0.6803
622,scarface,1983,r,crime,brian de palma,7.725,0.68
623,hitmans wifes bodyguard,2021,r,crime,patrick hughes,4.625,0.68
624,avengers age of ultron,2015,pg-13,science fiction,joss whedon,7.199999999999999,0.6799
625,new york new york,1977,pg,music,martin scorsese,6.325,0.6797
626,stomp the yard,2007,pg-13,music,sylvain white,4.875,0.6797
627,the net,1995,pg-13,mystery,irwin winkler,5.35,0.6796
628,bride wars,2009,pg,romance,gary winick,3.775,0.6796
629,romeo must die,2000,r,crime,andrzej bartkowiak,5.2,0.6795
630,black rain,1989,r,thriller,ridley scott,6.05,0.6793
631,country strong,2010,pg-13,music,shana feste,4.775,0.6791
632,joe dirt,2001,pg-13,mystery,dennie gordon,3.625,0.679
633,top gun maverick,2022,pg-13,drama,joseph kosinski,8.45,0.679
634,ghost in the shell,2017,pg-13,drama,rupert sanders,5.475,0.6787
635,the hitmans bodyguard,2017,r,crime,patrick hughes,5.7250000000000005,0.6787
636,for your eyes only,1981,pg,thriller,john glen,6.375,0.6787
637,the fast and the furious tokyo drift,2006,pg-13,drama,justin lin,5.225,0.6786
638,ghost ship,2002,r,horror,steve beck,3.95,0.6784
639,thor love and thunder,2022,pg-13,fantasy,taika waititi,6.15,0.6784
640,avengers infinity war,2018,pg-13,science fiction,"anthony russo, joe russo",7.975,0.6784
641,the expendables,2010,r,thriller,sylvester stallone,5.325,0.6783
642,overboard,2018,pg-13,romance,rob greenberg,4.8,0.6783
643,the girl who kicked the hornets nest,2009,r,mystery,daniel alfredson,6.425,0.6782
644,defiance,2008,r,war,edward zwick,6.375,0.6781
645,rob roy,1995,r,war,michael caton-jones,6.6,0.6779
646,27 dresses,2008,pg-13,romance,anne fletcher,5.3,0.6779
647,herbie fully loaded,2005,g,romance,angela robinson,4.85,0.6776
648,kiss the girls,1997,r,mystery,gary fleder,5.275,0.6776
649,licence to kill,1989,pg-13,thriller,john glen,6.7,0.6775
650,green lantern,2011,pg-13,science fiction,martin campbell,4.300000000000001,0.6775
651,bandits,2001,pg-13,crime,barry levinson,6.3,0.6775
652,ford v ferrari,2019,pg-13,action,james mangold,8.35,0.6774
653,elizabeth the golden age,2007,pg-13,romance,shekhar kapur,5.35,0.6773
654,i feel pretty,2018,pg-13,romance,"abby kohn, marc silverstein",5.1,0.6772
655,michael,1996,pg,fantasy,nora ephron,4.7,0.6772
656,the invisible,2007,pg-13,mystery,david s. goyer,4.5,0.6772
657,the forest,2016,r,horror,jason zada,3.6,0.6769
658,sound of freedom,2023,pg-13,drama,alejandro monteverde,6.4,0.6769
659,cold pursuit,2019,r,crime,hans petter moland,6.125,0.6769
