Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
900,the peanuts movie,2015,g,comedy,steve martino,7.324999999999999,72.41
901,kung fu panda,2008,pg,action,"mark osborne, john stevenson",7.75,72.41
902,penguins of madagascar,2014,pg,comedy,"eric darnell, simon j. smith",6.45,72.41
903,center stage,2000,pg-13,music,nicholas hytner,5.725,72.39999999999999
904,the blues brothers,1980,r,crime,john landis,7.175,72.39
905,how to train your dragon,2010,pg,fantasy,"dean deblois, chris sanders",8.325,72.38
906,cloverfield,2008,pg-13,science fiction,matt reeves,7.0,72.37
907,executive decision,1996,r,thriller,stuart baird,6.3,72.36
908,untraceable,2008,r,horror,gregory hoblit,4.300000000000001,72.36
909,the naked gun 2½ the smell of fear,1991,pg-13,comedy,david zucker,6.5,72.36
910,take the lead,2006,pg-13,music,liz friedlander,5.85,72.36
911,the invisible,2007,pg-13,mystery,david s. goyer,4.5,72.35000000000001
912,from hell,2001,r,mystery,"albert hughes, allen hughes",6.1,72.35000000000001
913,joe dirt,2001,pg-13,mystery,dennie gordon,3.625,72.35000000000001
914,a perfect world,1993,pg-13,crime,clint eastwood,7.475,72.34
915,brightburn,2019,r,mystery,david yarovesky,5.575,72.34
916,blackkklansman,2018,r,crime,spike lee,8.225,72.34
917,rescue dawn,2006,pg-13,war,werner herzog,7.725,72.34
918,dressed to kill,1980,r,mystery,brian de palma,7.425000000000001,72.34
919,eternal sunshine of the spotless mind,2004,r,romance,michel gondry,8.625,72.33000000000001
920,star wars the clone wars,2008,pg,science fiction,dave filoni,4.325,72.33000000000001
921,spider man far from home,2019,pg-13,action,jon watts,7.7,72.33000000000001
922,the family man,2000,pg-13,fantasy,brett ratner,5.775,72.33000000000001
923,moulin rouge,2001,pg-13,romance,baz luhrmann,7.324999999999999,72.32
924,kung fu hustle,2004,r,crime,stephen chow,8.025,72.32
925,identity,2003,r,mystery,james mangold,6.8,72.31
926,the big red one,1980,pg,war,samuel fuller,7.625,72.31
927,rogue one a star wars story,2016,pg-13,science fiction,gareth edwards,7.55,72.31
928,righteous kill,2008,r,crime,jon avnet,4.325,72.31
929,monster,2003,r,crime,patty jenkins,7.5,72.3
930,mash,1970,r,war,robert altman,7.75,72.3
